project,release,%training,%defective training,%defective testing,classifier,balancing,feature selection,TP,FP,TN,FN,precision,recall,AUC,kappa
Syncope,1,1.4553508,0.018115941,0.019855596,NaiveBayes,smote,,0.0,0.0,542.0,11.0,0.0,0.0,0.45454545454545453,0.0
Syncope,2,2.9133382,0.019004526,0.020537125,NaiveBayes,smote,,0.0,0.0,619.0,13.0,0.0,0.0,0.5,0.0
Syncope,3,4.5796094,0.019573977,0.118586086,NaiveBayes,smote,,1.0,0.0,772.0,103.0,1.0,0.009615384615384616,0.5070558489438023,0.016824303709192655
Syncope,4,6.8891873,0.05281286,0.11080332,NaiveBayes,smote,,33.0,36.0,605.0,47.0,0.4782608695652174,0.4125,0.7327418096723869,0.3791511479525673
Syncope,5,8.790108,0.06538692,0.16689466,NaiveBayes,smote,,27.0,7.0,601.0,95.0,0.7941176470588235,0.22131147540983606,0.6340190897325281,0.29477951204728
Syncope,6,10.714757,0.083661415,0.12059621,NaiveBayes,smote,,0.0,0.0,648.0,89.0,0.0,0.0,0.5,0.0
Syncope,7,12.657862,0.089356385,0.11940298,NaiveBayes,smote,,1.0,2.0,646.0,87.0,0.3333333333333333,0.011363636363636364,0.5437710437710438,0.01420659764026038
Syncope,8,14.598328,0.09337186,0.097693354,NaiveBayes,smote,,5.0,11.0,653.0,67.0,0.3125,0.06944444444444445,0.5271293507362784,0.08094262295081985
Syncope,9,16.538795,0.09389447,0.09311741,NaiveBayes,smote,,2.0,6.0,665.0,67.0,0.25,0.028985507246376812,0.5288019179679907,0.03321640776004036
Syncope,10,18.489809,0.09382575,0.14630872,NaiveBayes,smote,,2.0,6.0,629.0,107.0,0.25,0.01834862385321101,0.5112764574153001,0.014442464597205225
Syncope,11,20.45137,0.098878436,0.11825193,NaiveBayes,smote,,26.0,43.0,642.0,66.0,0.37681159420289856,0.2826086956521739,0.6022056490003174,0.24651026236421386
Syncope,12,22.499933,0.1006562,0.12906976,NaiveBayes,smote,,12.0,13.0,735.0,99.0,0.48,0.10810810810810811,0.5635628944452474,0.1353955101820734
Syncope,13,24.76469,0.10326839,0.0882353,NaiveBayes,smote,,65.0,26.0,810.0,16.0,0.7142857142857143,0.8024691358024691,0.8868657333569614,0.7306374228923923
Syncope,14,27.182367,0.101939864,0.10242291,NaiveBayes,smote,,0.0,0.0,814.0,93.0,0.0,0.0,0.5041412380122058,0.0
Syncope,15,29.573675,0.101988055,0.105315946,NaiveBayes,smote,,14.0,18.0,873.0,91.0,0.4375,0.13333333333333333,0.6441879108545775,0.16316714457496995
Syncope,16,32.199635,0.10226808,0.019880716,NaiveBayes,smote,,0.0,4.0,981.0,20.0,0.0,0.0,0.49746192893401014,-0.006677796327212841
Syncope,17,34.849323,0.09600545,0.043010753,NaiveBayes,smote,,0.0,3.0,975.0,44.0,0.0,0.0,0.5421546755902584,-0.005526481055056966
Syncope,18,37.543835,0.092205055,0.023323616,NaiveBayes,smote,,3.0,15.0,989.0,21.0,0.16666666666666666,0.125,0.5641807768924303,0.12535450935904832
Syncope,19,40.254158,0.087568775,0.005930657,NaiveBayes,smote,,1.0,7.0,2171.0,12.0,0.125,0.07692307692307693,0.5339231475595112,0.09112940200423665
Syncope,20,46.030743,0.07732402,0.0059693744,NaiveBayes,smote,,0.0,7.0,3822.0,23.0,0.0,0.0,0.5841177739675474,-0.002794217185299702
Syncope,21,56.186558,0.064426824,0.026441265,NaiveBayes,smote,,0.0,5.0,2240.0,61.0,0.0,0.0,0.5039833509803205,-0.004024118322271406
Syncope,22,62.26634,0.060718972,0.024421593,NaiveBayes,smote,,9.0,23.0,2253.0,48.0,0.28125,0.15789473684210525,0.5862894274350199,0.1879807244508279
Syncope,23,68.417305,0.057456646,0.012957317,NaiveBayes,smote,,4.0,34.0,2555.0,30.0,0.10526315789473684,0.11764705882352941,0.5488889646240883,0.09878027830269563
Syncope,24,75.332855,0.053372063,0.018259518,NaiveBayes,smote,,2.0,25.0,2501.0,45.0,0.07407407407407407,0.0425531914893617,0.5151909502872256,0.0412745390282323
Syncope,25,82.116585,0.05047197,0.032366823,NaiveBayes,smote,,0.0,0.0,1434.0,48.0,0.0,0.0,0.5104166666666666,0.0
Syncope,26,86.02389,0.049650606,0.031728666,NaiveBayes,smote,,5.0,23.0,1746.0,53.0,0.17857142857142858,0.08620689655172414,0.5414660532933081,0.09762532981530375
Syncope,27,90.84078,0.048701204,0.04957265,NaiveBayes,smote,,47.0,1.0,1666.0,40.0,0.9791666666666666,0.5402298850574713,0.9131415096291087,0.6851924811108489
Syncope,28,95.46521,0.048744787,0.07960488,NaiveBayes,smote,,5.0,9.0,1574.0,132.0,0.35714285714285715,0.0364963503649635,0.5220246137104546,0.05222679026433878
