project,release,%training,%defective training,%defective testing,classifier,feature selection,TP,FP,TN,FN,precision,recall,AUC,kappa
Syncope,1,1.4553508,0.018115941,0.019855596,NaiveBayes,Yes,0.0,0.0,541.0,10.0,0.0,0.0,0.5,0.0
Syncope,2,2.9133382,0.019004526,0.020537125,NaiveBayes,Yes,0.0,0.0,1083.0,21.0,0.0,0.0,0.5,0.0
Syncope,3,4.5796094,0.019573977,0.118586086,NaiveBayes,Yes,0.0,0.0,1702.0,34.0,0.0,0.0,0.5,0.0
Syncope,4,6.8891873,0.05281286,0.11080332,NaiveBayes,Yes,0.0,0.0,2474.0,138.0,0.0,0.0,0.5,0.0
Syncope,5,8.790108,0.06538692,0.16689466,NaiveBayes,Yes,0.0,0.0,3115.0,218.0,0.0,0.0,0.5,0.0
Syncope,6,10.714757,0.083661415,0.12059621,NaiveBayes,Yes,0.0,0.0,3723.0,340.0,0.0,0.0,0.5,0.0
Syncope,7,12.657862,0.089356385,0.11940298,NaiveBayes,Yes,42.0,36.0,4335.0,387.0,0.5384615384615384,0.0979020979020979,0.5872920642996141,0.1420878903576156
Syncope,8,14.598328,0.09337186,0.097693354,NaiveBayes,Yes,0.0,0.0,5019.0,517.0,0.0,0.0,0.5,0.0
Syncope,9,16.538795,0.09389447,0.09311741,NaiveBayes,Yes,0.0,0.0,5683.0,589.0,0.0,0.0,0.5,0.0
Syncope,10,18.489809,0.09382575,0.14630872,NaiveBayes,Yes,31.0,48.0,6306.0,627.0,0.3924050632911392,0.04711246200607903,0.5610256277786867,0.0653214531150021
Syncope,11,20.45137,0.098878436,0.11825193,NaiveBayes,Yes,70.0,36.0,6953.0,697.0,0.660377358490566,0.09126466753585398,0.5458815613210777,0.13970677248779706
Syncope,12,22.499933,0.1006562,0.12906976,NaiveBayes,Yes,0.0,0.0,7674.0,859.0,0.0,0.0,0.5,0.0
Syncope,13,24.76469,0.10326839,0.0882353,NaiveBayes,Yes,33.0,46.0,8376.0,937.0,0.4177215189873418,0.03402061855670103,0.5608651372081466,0.04810954755093037
Syncope,14,27.182367,0.101939864,0.10242291,NaiveBayes,Yes,178.0,169.0,9089.0,873.0,0.5129682997118156,0.16936251189343482,0.5819695322521998,0.21491621321931187
Syncope,15,29.573675,0.101988055,0.105315946,NaiveBayes,Yes,99.0,118.0,9954.0,1045.0,0.45622119815668205,0.08653846153846154,0.5373046582091459,0.1167535183038472
Syncope,16,32.199635,0.10226808,0.019880716,NaiveBayes,Yes,0.0,0.0,10963.0,1249.0,0.0,0.0,0.5,0.0
Syncope,17,34.849323,0.09600545,0.043010753,NaiveBayes,Yes,195.0,119.0,11829.0,1074.0,0.6210191082802548,0.1536643026004728,0.5756258799953463,0.21652534816513833
Syncope,18,37.543835,0.092205055,0.023323616,NaiveBayes,Yes,169.0,147.0,12779.0,1144.0,0.5348101265822784,0.12871287128712872,0.5584863289409197,0.1780851458148851
Syncope,19,40.254158,0.087568775,0.005930657,NaiveBayes,Yes,212.0,214.0,13716.0,1125.0,0.49765258215962443,0.15856394913986538,0.5715160909795264,0.20693515129246884
Syncope,20,46.030743,0.07732402,0.0059693744,NaiveBayes,Yes,101.0,128.0,15980.0,1249.0,0.4410480349344978,0.07481481481481482,0.5754808284818218,0.10792002132115652
Syncope,21,56.186558,0.064426824,0.026441265,NaiveBayes,Yes,218.0,246.0,19691.0,1155.0,0.4698275862068966,0.15877640203932994,0.5733928042306317,0.21168533456329092
Syncope,22,62.26634,0.060718972,0.024421593,NaiveBayes,Yes,218.0,260.0,21922.0,1216.0,0.4560669456066946,0.15202231520223153,0.5703375096372132,0.20386211160853496
Syncope,23,68.417305,0.057456646,0.012957317,NaiveBayes,Yes,250.0,344.0,24114.0,1241.0,0.4208754208754209,0.1676727028839705,0.5769976387888209,0.21407772632904679
Syncope,24,75.332855,0.053372063,0.018259518,NaiveBayes,Yes,227.0,343.0,26704.0,1298.0,0.39824561403508774,0.14885245901639343,0.5786702200844068,0.19327630633532358
Syncope,25,82.116585,0.05047197,0.032366823,NaiveBayes,Yes,257.0,412.0,29161.0,1315.0,0.3841554559043348,0.16348600508905853,0.5769075537319175,0.20541672429851296
Syncope,26,86.02389,0.049650606,0.031728666,NaiveBayes,Yes,257.0,412.0,30595.0,1363.0,0.3841554559043348,0.15864197530864196,0.5747485533931606,0.201373350574855
Syncope,27,90.84078,0.048701204,0.04957265,NaiveBayes,Yes,0.0,0.0,32776.0,1678.0,0.0,0.0,0.5,0.0
Syncope,28,95.46521,0.048744787,0.07960488,NaiveBayes,Yes,318.0,433.0,34010.0,1447.0,0.4234354194407457,0.1801699716713881,0.5840095048854785,0.23038609516262273
